Unnamed: 0,State,City,Latitude,Longitude
0,Johor,Bandar Penawar,1.5537664,104.2308231
1,Johor,Johor Bahru,1.4581986,103.7649059
2,Johor,Kluang,2.0323472,103.3190766
3,Johor,Parit Sulong,1.9759124,102.8830335
4,Johor,Pasir Gudang,1.4953437,103.9207048
5,Johor,Pengerang,1.3944226,104.2154903
6,Johor,Segamat District,2.4922852,102.8450367
7,Johor,Tangkak,2.25,102.5833333
8,Kedah,Kulim,5.3707128,100.6172071
9,Kedah,Langkawi,6.3700386,99.7928634
10,Kedah,Sungai Petani,5.6435195,100.4869513
11,Kelantan,Kota Bharu,6.1247911,102.2378065
12,Kelantan,Tanah Merah,5.7663046,102.0341478
13,Kuala Lumpur,Kuala Lumpur,3.1526589,101.7022205
14,Labuan,Labuan,5.3168336,115.2198613
15,Melaka,Alor Gajah,2.3834528,102.2107805
16,Melaka,Melaka,2.3293744,102.2880962
17,Negeri Sembilan,Nilai,2.8029227,101.8001051
18,Negeri Sembilan,Port Dickson,2.5262491,101.8106156
19,Negeri Sembilan,Seremban,2.723099,101.9400601
20,Pahang,Balok,3.9785007,103.3312976
21,Pahang,Jerantut,4.2834137,102.5575232
22,Pahang,Kuala Rompin,2.80581,103.488504
23,Pahang,Kuantan,3.7985637,103.32199
24,Pahang,Temerloh,3.6124468,102.2566818
25,Penang,Balik Pulau,5.3506953,100.2348979
26,Penang,Batu Feringgi,5.4708863,100.2485887
27,Penang,Bukit Mertajam,5.3642519,100.4609867
28,Penang,Gelugor,5.3683584,100.3099939
29,Penang,Georgetown,5.40255265,100.3035505
30,Penang,Perai,5.3870844,100.3821843
31,Penang,Simpang Ampat,5.2859276,100.4808332
32,Penang,Tanjung Tokong,5.4509926,100.3056236
33,Perak,Ipoh,4.5986817,101.0900236
34,Perak,Seri Manjung,4.1912768,100.6592247
35,Perak,Taiping,4.8546772,100.7438831
36,Perak,Tanjung Malim,3.6847575,101.5182638
37,Perlis,Kangar,6.4389312,100.1944838
38,Putrajaya,Putrajaya,2.9384381,101.69223
39,Sabah,Bongawan,5.5402815,115.8558147
40,Sabah,Keningau,5.2179477,116.2463149
41,Sabah,Kota Kinabalu,5.9780066,116.0728988
42,Sabah,Putatan,5.8814478,116.0656182
43,Sabah,Sandakan,5.8391274,118.1158598
44,Sabah,Tawau,4.2435206,117.885331
45,Sarawak,Bintulu,3.1874261,113.0472803
46,Sarawak,Kapit,2.0139027,112.9356766
47,Sarawak,Kota Samarahan,1.4596157,110.4954562
48,Sarawak,Kuching,1.5597561,110.345397
49,Sarawak,Limbang,4.3519985,115.0602417
50,Sarawak,Miri,4.3940102,113.9880199
51,Sarawak,Mukah,2.8118528,112.291206
52,Sarawak,Sarikei,2.1294846,111.5230586
53,Sarawak,Sibu,2.2996601,111.8710012
54,Sarawak,Sri Aman,1.2097123,111.2866092
55,Selangor,Banting,2.8027574,101.4956767
56,Selangor,Klang,3.0448394,101.4447363
57,Selangor,Kuala Selangor,3.3621022,101.3455503
58,Selangor,Petaling Jaya,3.0988792,101.6454202
59,Selangor,Shah Alam,3.0739429,101.5185278
60,Selangor,Tanjung Dua Belas,2.9122719,101.5167227
61,Terengganu,Chukai,4.2193065,103.4225158
62,Terengganu,Jerteh,5.7381427,102.4971539
63,Terengganu,Kerteh,4.5711843,103.437928
64,Terengganu,Kuala Terengganu,5.3296461,103.1383265
