,State,City
0,Johor,Bandar Penawar
1,Johor,Johor Bahru
2,Johor,Kluang
3,Johor,Parit Sulong
4,Johor,Pasir Gudang
5,Johor,Pengerang
6,Johor,Segamat District
7,Johor,Tangkak
8,Kedah,Kulim
9,Kedah,Langkawi
10,Kedah,Sungai Petani
11,Kelantan,Kota Bharu
12,Kelantan,Tanah Merah
13,Kuala Lumpur,Kuala Lumpur
14,Labuan,Labuan
15,Melaka,Alor Gajah
16,Melaka,Melaka
17,Negeri Sembilan,Nilai
18,Negeri Sembilan,Port Dickson
19,Negeri Sembilan,Seremban
20,Pahang,Balok
21,Pahang,Jerantut
22,Pahang,Kuala Rompin
23,Pahang,Kuantan
24,Pahang,Temerloh
25,Penang,Balik Pulau
26,Penang,Batu Feringgi
27,Penang,Bukit Mertajam
28,Penang,Gelugor
29,Penang,Georgetown
30,Penang,Perai
31,Penang,Simpang Ampat
32,Penang,Tanjung Tokong
33,Perak,Ipoh
34,Perak,Seri Manjung
35,Perak,Taiping
36,Perak,Tanjung Malim
37,Perlis,Kangar
38,Putrajaya,Putrajaya
39,Sabah,Bongawan
40,Sabah,Keningau
41,Sabah,Kota Kinabalu
42,Sabah,Putatan
43,Sabah,Sandakan
44,Sabah,Tawau
45,Sarawak,Bintulu
46,Sarawak,Kapit
47,Sarawak,Kota Samarahan
48,Sarawak,Kuching
49,Sarawak,Limbang
50,Sarawak,Miri
51,Sarawak,Mukah
52,Sarawak,Sarikei
53,Sarawak,Sibu
54,Sarawak,Sri Aman
55,Selangor,Banting
56,Selangor,Klang
57,Selangor,Kuala Selangor
58,Selangor,Petaling Jaya
59,Selangor,Shah Alam
60,Selangor,Tanjung Dua Belas
61,Terengganu,Chukai
62,Terengganu,Jerteh
63,Terengganu,Kerteh
64,Terengganu,Kuala Terengganu
