State,City,Latitude,Longitude
Johor,Batu_Pahat,1.848448376,102.9290189
Johor,Kluang,2.0323472,103.3190766
Johor,Kota_Tinggi,1.729399615,103.8993962
Johor,Larkin_Lama,1.491530753,103.7346982
Johor,Muar,2.062485269,102.5859739
Johor,Pasir_Gudang,1.4953437,103.9207048
Johor,Pengerang,1.3944226,104.2154903
Johor,Segamat,2.4922852,102.8450367
Johor,Tangkak,2.25,102.5833333
Kedah,Alor_Setar,6.124173234,100.3699029
Kedah,Bakar_Arang,5.627622711,100.4782227
Kedah,Kulim_Hi_Tech,5.3707128,100.6172071
Kedah,Langkawi,6.3700386,99.7928634
Kelantan,Kota_Bharu,6.1247911,102.2378065
Kelantan,Tanah_Merah,5.7663046,102.0341478
Kuala Lumpur,Batu_Muda,3.212944961,101.6863883
Kuala Lumpur,Cheras,3.107209548,101.7259457
Kuala Lumpur,Kuala_Lumpur,3.1526589,101.7022205
Melaka,Alor_Gajah,2.3834528,102.2107805
Melaka,Bandaraya,2.233819554,102.2824926
Melaka,Bukit_Rambai,2.253276772,102.1893253
Negeri_Sembilan,Nilai,2.8029227,101.8001051
Negeri_Sembilan,Port_Dickson,2.5262491,101.8106156
Negeri_Sembilan,Seremban,2.723099,101.9400601
Pahang,Balok_Baru,3.9785007,103.3312976
Pahang,Indera_Mahkota,3.821135945,103.2980012
Pahang,Jerantut,4.2834137,102.5575232
Pahang,Rompin,2.80581,103.488504
Pahang,Temerloh,3.6124468,102.2566818
Penang,Balik_Pulau,5.3506953,100.2348979
Penang,Minden,5.360124669,100.3008623
Penang,Perai,5.3870844,100.3821843
Penang,Seberang_Jaya_2,5.397958504,100.4062565
Perak,Ipoh,4.5986817,101.0900236
Perak,Jalan_Tasek_Ipoh,4.648592705,101.1078392
Perak,kg._air_putih_taiping,4.8546772,100.7438831
Perak,Seri_Manjung,4.1912768,100.6592247
Perak,s_k_Jalan_Pegoh_Ipoh,4.554447154,101.0822903
Perak,Tanjung_Malim,3.6847575,101.5182638
Perlis,Kangar,6.4389312,100.1944838
Putrajaya,Putrajaya_W.P.,2.9384381,101.69223
Sabah,Keningau,5.2179477,116.2463149
Sabah,Kimanis,5.61715074,115.8915285
Sabah,Kota_Kinabalu,5.9780066,116.0728988
Sabah,Sandakan,5.8391274,118.1158598
Sabah,Tawau,4.2435206,117.885331
Sarawak,Bintulu,3.1874261,113.0472803
Sarawak,ilp_Miri,4.494177654,114.0439318
Sarawak,Kapit,2.0139027,112.9356766
Sarawak,Kuching,1.5597561,110.345397
Sarawak,Limbang,4.3519985,115.0602417
Sarawak,Miri,4.3940102,113.9880199
Sarawak,Mukah,2.8118528,112.291206
Sarawak,Samarahan,1.459094677,110.4906102
Sarawak,Sarikei,2.1294846,111.5230586
Sarawak,Semalaju,3.553645127,113.3239928
Sarawak,Sibu,2.2996601,111.8710012
Sarawak,Sri_Aman,1.2097123,111.2866092
Selangor,Banting,2.8027574,101.4956767
Selangor,Klang,3.0448394,101.4447363
Selangor,Kuala_Selangor,3.3621022,101.3455503
Selangor,Petaling_Jaya,3.0988792,101.6454202
Selangor,Shah_Alam,3.0739429,101.5185278
Terengganu,Besut,5.82808846,102.5430699
Terengganu,Kemaman,4.248838118,103.4760052
Terengganu,Kuala_Terengganu,5.3296461,103.1383265
Terengganu,Paka,4.65804256,103.3782248
